资产名,Release(tag),年月,固件版本目录,字节数,MD5,本地源路径
padavan-2022-04__20220401.zip,2022年04月,2022-04,padavan_20220401,1334140361,70546668F117F6446211993C15E70019,F:\路由器\华硕padavan\旧文件\2022\padavan_20220401
padavan-2022-05__20220501.zip,2022年05月,2022-05,padavan_20220501,1334776313,8CB09AEE34FAC1C007F00565B7ECBCED,F:\路由器\华硕padavan\旧文件\2022\padavan_20220501
padavan-2022-06__20220601.zip,2022年06月,2022-06,padavan_20220601,1373221451,890F4A1F5D4DC0D3B3409D7989017BA0,F:\路由器\华硕padavan\旧文件\2022\padavan_20220601
padavan-2022-06__20220602.zip,2022年06月,2022-06,padavan_20220602,1373146065,83E1C15030ADEA6F1A5DE6901F6C44B2,F:\路由器\华硕padavan\旧文件\2022\padavan_20220602
padavan-2022-07__20220701.zip,2022年07月,2022-07,padavan_20220701,1259270354,131056AB462A01727C8BEAC5F76347E9,F:\路由器\华硕padavan\旧文件\2022\padavan_20220701
padavan-2022-08__20220801.zip,2022年08月,2022-08,padavan_20220801,1293527890,D833EBFADA4B2C85D3C8FFDFC3A9D3E2,F:\路由器\华硕padavan\旧文件\2022\padavan_20220801
padavan-2022-09__20220901.zip,2022年09月,2022-09,padavan_20220901,1293622497,E02204C736533F5E1617B78F7243F191,F:\路由器\华硕padavan\旧文件\2022\padavan_20220901
padavan-2022-10__20221001.zip,2022年10月,2022-10,padavan_20221001,1294018846,51EBF4B23E5E527F672E3CD881A73837,F:\路由器\华硕padavan\旧文件\2022\padavan_20221001
padavan-2022-11__20221101.zip,2022年11月,2022-11,padavan_20221101,1308528199,B86A93746299237B59DB7ECB4DD99BB1,F:\路由器\华硕padavan\旧文件\2022\padavan_20221101
padavan-2022-11__20221102.zip,2022年11月,2022-11,padavan_20221102,1299579686,3CC7C0665D1BCEEB5A79AFFDF99AE5AF,F:\路由器\华硕padavan\旧文件\2022\padavan_20221102
padavan-2022-12__20221201.zip,2022年12月,2022-12,padavan_20221201,1299582152,17411AE78B25B91846B2127FF9C06883,F:\路由器\华硕padavan\旧文件\2022\padavan_20221201
padavan-2023-01__20230101.zip,2023年01月,2023-01,padavan_20230101,1299796149,7B6BF521B63B04DEEE5318A7283ED3EC,F:\路由器\华硕padavan\旧文件\2023\padavan_20230101
padavan-2023-01__20230102.zip,2023年01月,2023-01,padavan_20230102,1300280250,B70E37C6CA3DF48620150AFFF0759C7B,F:\路由器\华硕padavan\旧文件\2023\padavan_20230102
padavan-2023-01__20230103.zip,2023年01月,2023-01,padavan_20230103,1328021485,509A460BD9DEFE3E4B44BBE3179EC3BB,F:\路由器\华硕padavan\旧文件\2023\padavan_20230103
padavan-2023-01__20230104.zip,2023年01月,2023-01,padavan_20230104,1327345812,5BD9F2C8D30C77BB5A031C94E04099B5,F:\路由器\华硕padavan\旧文件\2023\padavan_20230104
padavan-2023-01__20230105.zip,2023年01月,2023-01,padavan_20230105,1328046794,E8E20DC616218065D0F1838384C6CD4A,F:\路由器\华硕padavan\旧文件\2023\padavan_20230105
padavan-2023-02__20230202.zip,2023年02月,2023-02,padavan_20230202,1329270867,37A37B9B68A129C09198F082D2A18F89,F:\路由器\华硕padavan\旧文件\2023\padavan_20230202
padavan-2023-03__20230301.zip,2023年03月,2023-03,padavan_20230301,1359897161,F1CB8F28E8A997D46DBBB1B2C8B0D04C,F:\路由器\华硕padavan\旧文件\2023\padavan_20230301
padavan-2023-04__20230401.zip,2023年04月,2023-04,padavan_20230401,1360706300,0FA64E2EE8E0EF0C16A2D9DC65E4D5D0,F:\路由器\华硕padavan\旧文件\2023\padavan_20230401
padavan-2023-05__20230501.zip,2023年05月,2023-05,padavan_20230501,1360634990,0765DF445118106D38D7E10CBE38581A,F:\路由器\华硕padavan\旧文件\2023\padavan_20230501
padavan-2023-07__20230701.zip,2023年07月,2023-07,padavan_20230701,1361139964,351BD7B8320B29C20B8C1B611BA4CF6D,F:\路由器\华硕padavan\旧文件\2023\padavan_20230701
padavan-2023-08__20230801.zip,2023年08月,2023-08,padavan_20230801,1375688698,824114FC10C10055FBD47544B1201961,F:\路由器\华硕padavan\旧文件\2023\padavan_20230801
padavan-2023-08__20230803.zip,2023年08月,2023-08,padavan_20230803,1376661832,32E6751D820752A3FA977D47B1778E1D,F:\路由器\华硕padavan\旧文件\2023\padavan_20230803
